Name,Code,Altitude,Easting,Northing,Description,Subregion,Region,SourceURL,Longitude,Latitude
Roca de l’Arc de Guirló,99-A,815,397965.0,4606925.0,"Encara que petita, és un roca digna d'esmentar. És una roca petita formada per dues agulles cavalcades que formen un pont. Queda a la part sud-oest del turó del Serrat de Guirló i no massa avall del seu cim. Compren una curta cresta que és un roquissar encarada al vessant del torrent de la Diablera. Aquesta roca es distingeix fàcilment des de Sant Pau Vell.",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7754625359669847,41.60751823021122
Veïna de baix de l'Arc de Guirló,99-B,784,397991.0,4606799.0,Situada al costat de la roca de l'Arc de Guirló,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7757959497233908,41.60638689461742
Serrat de Guirló,99,830,398021.0,4606954.0,Es tracta d'un turó planer situat a l'est del turo de sant Pau Vell i separat del coll de Guirló.,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7761295167268771,41.60778653764881
Gaites de Guirló,s/n,785,398010.0,4606823.0,"Gaites de Guirló. a l'extrem meridional del serrat de Guirló, veí del de Sant Pau Vell, els separa el torrent de l'Home Mort. Joan Miquel Dalmau, les cita en la seva guia d'escalades de la regió de les Agulles. En Manel Punsola li ha donat el número 848",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.776019832249998,41.60660544768957
Contrafort de Sant Pau Vell,s/n,821,397826.0,4606914.0,És una cinglera d'uns 30 metres d'alçada situada sota mateix de sant Pau Vell. Per la seva part de llevant té enganxada l'agulla de la Venta,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7737966191100427,41.607401393911395
Agulla dels Innocents,s/n,798,397847.0,4606905.0,Agulla que forma un coll amb l'agulla de la Venta per la seva part nord,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7740501218241824,41.607323034499466
Agulla de l'abat Bardolet,s/n,790,398149.0,4607007.0,"Petita roca situada a l'est del coll de Guirló i al damunt de la part superior del torrent de la Diablera, per sobre del Flam d'Agulles",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7776563238243523,41.60828015658009
Flam d'Agulles,s/n,766,398173.0,4606964.0,"Roca situada a la part superior del torrent de la Diablera, al costat mateix de la zona arqueològica de la cova Tapada.",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7779516002185465,41.60789599347185
Agulla Foradada de la cova Tapada,s/n,749,398175.0,4606964.0,"Singular agulla mig cavalcada i foradada situada al costat del Flam d'Agulles, a la part superior del torrent de la Diablera al costat de la zona arqueològica de la cova Tapada",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7779755974098637,41.607896248589135
Roca de la Montse,s/n,761,398214.0,4606935.0,Aresta esvelta orientada al Bruc situada al torrent de la Diablera.,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7784484695605687,41.60764007060339
Roca dels Veterans,s/n,791,398231.0,4606918.0,Roca integrada en una de les cingleres del torrent de la Diablera,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7786553325743808,41.60748914906125
Roca Majó,s/n,788,398256.0,4606906.0,"Roca important situada en el cingle més notable del torrent de la Diablera, segons indica Josep Miquel Dalmau, baixant cap al sud.",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.778957333506932,41.607384272977
Agulla de la Venta,s/n,770,397861.0,4606886.0,Des de sant Pau Vell baixa una petita carena en direcció sud que acaba en aquesta roca. En Josep Baberà esmenta que deu tractar-se d'un bloc després de les cingles.  tal com evidencia la balma que ha quedat en el lloc on abans estava encaixada aquesta roca. Agulla  situada en la part est del Contrafort de sant Pau Vell i separada d'aquest per una canal arbrada. Forma coll amb la Veïna de sant Pau. En Manuel Punsola li dona el número 395,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.77422133948621,41.60715372671336
Castell de la Guàrdia,s/n,857,397824.0,4607090.0,Una mica més a munt de sant Pau Vell hi ha quatre pedres a dalt d'un turó del que fou el castell de  la Guàrdia o castell Bonifaci.,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7737426060174897,41.60898605612975
Sant Pau Vell,97,823,397820.0,4606986.0,"Molt a prop del coll de can Maçana, accessible per un petit corriol, hi ha la ruïnes de sant Pau Vell",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7737123486871906,41.6080490016081
Piràmide truncada,s/n,760,397653.0,4607022.0,Bloc aïllat situat a prop d'un cingle situat a la vessant oest del Contrafort de sant Pau Vell,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7717024328148394,41.608351795263076
Casc d'Agulles,s/n,758,397703.0,4606889.0,Bloc arrodonit situat al final d'una carena que baixa de sant Pau Vell,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/,1.7723250745075987,41.60716051104589
Agulla de l'Era dels Pallers,10,777,398490.0,4606184.0,Es un conjunt de petites agulles que s’estenen des del coll de l’era dels Pallers en direcció sud i que semblen uns queixals plantats el damunt de la carena.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7818872927853668,41.60091227198148
Agulla del Giravolt,8,783,398520.0,4606102.0,"Les tres agulles de l’Era dels Pallers acaben amb una agulla una mica més alta. Aquesta, la més propera a les roques del Pallers, es coneix també amb el nom d’agulla del Giravolt. Aquest nom prové, segons explica Josep Barberà, perquè té una sèrie de repl",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7822610965761474,41.60017765424721
Agulla dels Tres o CNT,s/n,886,398405.0,4606560.0,"Aquesta agulla es troba per sota i en continuació de la Miranda de la Portella. El nom d’aquesta agulla es deu a que fou escalada per primer cop l’any 1951 per Capeta, Nubiola i Torras. Inicialment, aquests escaladors li donaren el nom format per les inic",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7808037781704216,41.60428743512882
Cinglera de la cota 13,s/n,880,398426.0,4606529.0,Cinglera en la qual es troba roca la Tretze identificada amb el número 13,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7810609896357519,41.60401094448461
El Dau d’Agulles,16,899,398386.0,4606594.0,"El Dau d’Agulles, se li dóna aquest nom per diferenciar-lo del Dau del Monestir. És una roca cúbica de no masses dimensions, 19 metres d’alt. Aquesta agulla està propera a la Miranda de la Portella. Tot i que el seu nom es el Dau es freqüent nomenar-la ta",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7805700517420737,41.604591195450844
El Gerro,1,711,398474.0,4605809.0,És una roca que té un pont natural al costat sud-oest que sembla la nansa d’un gerro. Aquesta agulla s’hi arriba per un camí que baixa des de la Tisoreta en direcció al camí del Vermell del Xincarró.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7817588548996568,41.597533265977894
El Timbal,s/n,717,398560.0,4605798.0,Agulla adossada al Timbaler del Bruc de la qual queda separada per una ximeneia,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7827924322794155,41.59744513721488
El Timbaler del Bruc,2,742,398549.0,4605802.0,"Aquesta roca es troba a la mateix nivell que el Gerro, però a l’altra cantó de la cinglera en la seva vessant est.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7826597918113358,41.59747976087763
La Tisora,3,798,398549.0,4605938.0,"Tal com indica el nom, aquest roca té dues puntes una al Nord i a l’altre al Sud. La primera s’anomena també Tisora Gran i és la més propera a la darrera roca dels Pallers i la segona és la Tisora Petita.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.782636773837854,41.59870447662067
La Tisoreta,s/n,786,398547.0,4605909.0,És la darrera roca d’aquesta zona. Té la peculiaritat de tenir una forat en forma de creu que li dóna una característica ben peculiar.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7826176884707456,41.598443069925295
La Tretze,13,875,398419.0,4606540.0,"Aquesta agulla es troba a continuació, més al sud, de l’agulla dels Tres de la qual està separa per una canal.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.780975139714216,41.60410911159988
Llastra Punxeguda,s/n,862,398407.0,4606492.0,Aquesta agulla s’hi arriba seguint un corriol que transcorre pel peu de la muralla d’aquesta secció per la seva part sud en direcció al coll de l’Era dels Pallers. Aquesta roca sembla estar posada sota una gran concavitat de la qual es sembla haver despré,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.780839302573747,41.60367533280404
Miranda de la Portella,15,897,398382.0,4606575.0,"Segons comenta Josep Barberà, la Miranda de la Portella “realment potser s'ha pres aquest nom del lloc on en el plànol d’en Semir figura el nom de la Miranda de la Portella en un turonet que hi ha sota la roca dels Tres. De totes maneres fa molt de temps",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7805252818455113,41.604419586660335
Miranda de les Agulles,187,907,398767.0,4606504.0,"Abans d'arribar al trencall on surt el camí que baixa de la canal Ampla, anant en direcció al refugi, hom troba a mà esquerra una carena descendent que no és altra cosa que la prolongació de la carena que baixa de la Nana. (Aquesta descripció no és del to",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7851564979150816,41.60382912413785
Paller del Mal Any,7,795,398522.0,4606050.0,"A continuació de les agulles de l’era dels Pallers hi ha les quatre roques dels Pallers del Mal Any. En Josep Barberà diu que segons una llegenda montserratina, totes les roques d’aquest indret les situades en torn de l’era dels Pallers, eren uns pallers",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7822938951019165,41.59970963497406
Roca de l'Era dels Pallers,12,788,398481.0,4606225.0,És una gran massa rocosa en la part sud del coll de l'Era dels Pallers i que senyala al inici dels Pallers.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7817723719670129,41.60128034320636
Roca de les Vuit o Llastra del Dau,14,898,398364.0,4606558.0,"La roca de les Vuit, com és anomenada pels habitants els habitants d’El Bruc és una gran llastra separada de la cinglera, encara que un xic difícil de veure al primer cop d'ull. Està situada al peu de la Miranda de la Portella.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.780312201926324,41.60426420620163
Roca de lo Palauet,s/n,862,398451.0,4606493.0,Roca solitaria propera a La Tretza per la seva vessant sud,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7813670375561972,41.60368993575655
Roca dels Cartutxos,s/n,725,398530.0,4605799.0,És la darrera agulla de la carena que baixa de l’era dels Pallers. Es troba entre l’agulla del Gerro i el Timbaler del Bruc.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7824323625969667,41.59745033105049
Roca Gran de la Portella,17,933,398402.0,4606685.0,"És la roca més esvelta i gran d’aquesta secció. Per la se seva situació fou una de les primeres en rebre l’atenció d’excursionistes i escaladors. Domina el pas que porta el seu nom. S’hi arriba a través del camí que ve de coll de Guirló i, amb una lleuger",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/,1.7807465902395878,41.60541270909611
