Name,Description
Roca de l’Arc de Guirló,"Encara que petita, és un roca digna d'esmentar. És una roca petita formada per dues agulles cavalcades que formen un pont. Queda a la part sud-oest del turó del Serrat de Guirló i no massa avall del seu cim. Compren una curta cresta que és un roquissar encarada al vessant del torrent de la Diablera. Aquesta roca es distingeix fàcilment des de Sant Pau Vell."
Veïna de baix de l'Arc de Guirló,Situada al costat de la roca de l'Arc de Guirló
Serrat de Guirló,Es tracta d'un turó planer situat a l'est del turo de sant Pau Vell i separat del coll de Guirló.
Gaites de Guirló,"Gaites de Guirló. a l'extrem meridional del serrat de Guirló, veí del de Sant Pau Vell, els separa el torrent de l'Home Mort. Joan Miquel Dalmau, les cita en la seva guia d'escalades de la regió de les Agulles. En Manel Punsola li ha donat el número 848"
Contrafort de Sant Pau Vell,És una cinglera d'uns 30 metres d'alçada situada sota mateix de sant Pau Vell. Per la seva part de llevant té enganxada l'agulla de la Venta
Agulla dels Innocents,Agulla que forma un coll amb l'agulla de la Venta per la seva part nord
Agulla de l'abat Bardolet,"Petita roca situada a l'est del coll de Guirló i al damunt de la part superior del torrent de la Diablera, per sobre del Flam d'Agulles"
Flam d'Agulles,"Roca situada a la part superior del torrent de la Diablera, al costat mateix de la zona arqueològica de la cova Tapada."
Agulla Foradada de la cova Tapada,"Singular agulla mig cavalcada i foradada situada al costat del Flam d'Agulles, a la part superior del torrent de la Diablera al costat de la zona arqueològica de la cova Tapada"
Roca de la Montse,Aresta esvelta orientada al Bruc situada al torrent de la Diablera.
Roca dels Veterans,Roca integrada en una de les cingleres del torrent de la Diablera
Roca Majó,"Roca important situada en el cingle més notable del torrent de la Diablera, segons indica Josep Miquel Dalmau, baixant cap al sud."
Agulla de la Venta,Des de sant Pau Vell baixa una petita carena en direcció sud que acaba en aquesta roca. En Josep Baberà esmenta que deu tractar-se d'un bloc després de les cingles.  tal com evidencia la balma que ha quedat en el lloc on abans estava encaixada aquesta roca. Agulla  situada en la part est del Contrafort de sant Pau Vell i separada d'aquest per una canal arbrada. Forma coll amb la Veïna de sant Pau. En Manuel Punsola li dona el número 395
Castell de la Guàrdia,Una mica més a munt de sant Pau Vell hi ha quatre pedres a dalt d'un turó del que fou el castell de  la Guàrdia o castell Bonifaci.
Sant Pau Vell,"Molt a prop del coll de can Maçana, accessible per un petit corriol, hi ha la ruïnes de sant Pau Vell"
Piràmide truncada,Bloc aïllat situat a prop d'un cingle situat a la vessant oest del Contrafort de sant Pau Vell
Casc d'Agulles,Bloc arrodonit situat al final d'una carena que baixa de sant Pau Vell
Agulla de l'Era dels Pallers,Es un conjunt de petites agulles que s’estenen des del coll de l’era dels Pallers en direcció sud i que semblen uns queixals plantats el damunt de la carena.
Agulla de l'Era dels Pallers,Es un conjunt de petites agulles que s’estenen des del coll de l’era dels Pallers en direcció sud i que semblen uns queixals plantats el damunt de la carena.
Agulla de l'Era dels Pallers,Es un conjunt de petites agulles que s’estenen des del coll de l’era dels Pallers en direcció sud i que semblen uns queixals plantats el damunt de la carena.
Agulla del Giravolt,"Les tres agulles de l’Era dels Pallers acaben amb una agulla una mica més alta. Aquesta, la més propera a les roques del Pallers, es coneix també amb el nom d’agulla del Giravolt. Aquest nom prové, segons explica Josep Barberà, perquè té una sèrie de repl"
Agulla dels Tres o CNT,"Aquesta agulla es troba per sota i en continuació de la Miranda de la Portella. El nom d’aquesta agulla es deu a que fou escalada per primer cop l’any 1951 per Capeta, Nubiola i Torras. Inicialment, aquests escaladors li donaren el nom format per les inic"
Cinglera de la cota 13,Cinglera en la qual es troba roca la Tretze identificada amb el número 13
El Dau d’Agulles,"El Dau d’Agulles, se li dóna aquest nom per diferenciar-lo del Dau del Monestir. És una roca cúbica de no masses dimensions, 19 metres d’alt. Aquesta agulla està propera a la Miranda de la Portella. Tot i que el seu nom es el Dau es freqüent nomenar-la ta"
El Gerro,És una roca que té un pont natural al costat sud-oest que sembla la nansa d’un gerro. Aquesta agulla s’hi arriba per un camí que baixa des de la Tisoreta en direcció al camí del Vermell del Xincarró.
El Timbal,Agulla adossada al Timbaler del Bruc de la qual queda separada per una ximeneia
El Timbaler del Bruc,"Aquesta roca es troba a la mateix nivell que el Gerro, però a l’altra cantó de la cinglera en la seva vessant est."
La Tisora,"Tal com indica el nom, aquest roca té dues puntes una al Nord i a l’altre al Sud. La primera s’anomena també Tisora Gran i és la més propera a la darrera roca dels Pallers i la segona és la Tisora Petita."
La Tisoreta,És la darrera roca d’aquesta zona. Té la peculiaritat de tenir una forat en forma de creu que li dóna una característica ben peculiar.
La Tretze,"Aquesta agulla es troba a continuació, més al sud, de l’agulla dels Tres de la qual està separa per una canal."
Llastra Punxeguda,Aquesta agulla s’hi arriba seguint un corriol que transcorre pel peu de la muralla d’aquesta secció per la seva part sud en direcció al coll de l’Era dels Pallers. Aquesta roca sembla estar posada sota una gran concavitat de la qual es sembla haver despré
Miranda de la Portella,"Segons comenta Josep Barberà, la Miranda de la Portella “realment potser s'ha pres aquest nom del lloc on en el plànol d’en Semir figura el nom de la Miranda de la Portella en un turonet que hi ha sota la roca dels Tres. De totes maneres fa molt de temps"
Miranda de les Agulles,"Abans d'arribar al trencall on surt el camí que baixa de la canal Ampla, anant en direcció al refugi, hom troba a mà esquerra una carena descendent que no és altra cosa que la prolongació de la carena que baixa de la Nana. (Aquesta descripció no és del to"
Paller del Mal Any,"A continuació de les agulles de l’era dels Pallers hi ha les quatre roques dels Pallers del Mal Any. En Josep Barberà diu que segons una llegenda montserratina, totes les roques d’aquest indret les situades en torn de l’era dels Pallers, eren uns pallers"
Paller del Mal Any,"A continuació de les agulles de l’era dels Pallers hi ha les quatre roques dels Pallers del Mal Any. En Josep Barberà diu que segons una llegenda montserratina, totes les roques d’aquest indret les situades en torn de l’era dels Pallers, eren uns pallers"
Paller del Mal Any,"A continuació de les agulles de l’era dels Pallers hi ha les quatre roques dels Pallers del Mal Any. En Josep Barberà diu que segons una llegenda montserratina, totes les roques d’aquest indret les situades en torn de l’era dels Pallers, eren uns pallers"
Paller del Mal Any,"A continuació de les agulles de l’era dels Pallers hi ha les quatre roques dels Pallers del Mal Any. En Josep Barberà diu que segons una llegenda montserratina, totes les roques d’aquest indret les situades en torn de l’era dels Pallers, eren uns pallers"
Roca de l'Era dels Pallers,És una gran massa rocosa en la part sud del coll de l'Era dels Pallers i que senyala al inici dels Pallers.
Roca de les Vuit o Llastra del Dau,"La roca de les Vuit, com és anomenada pels habitants els habitants d’El Bruc és una gran llastra separada de la cinglera, encara que un xic difícil de veure al primer cop d'ull. Està situada al peu de la Miranda de la Portella."
Roca de lo Palauet,Roca solitaria propera a La Tretza per la seva vessant sud
Roca dels Cartutxos,És la darrera agulla de la carena que baixa de l’era dels Pallers. Es troba entre l’agulla del Gerro i el Timbaler del Bruc.
