Name,Code,Altitude,Easting,Northing,Description,Subregion,Region,SourceURL
Roca de l’Arc de Guirló,99-A,815,397965.0,4606925.0,"Encara que petita, és un roca digna d'esmentar. És una roca petita formada per dues agulles cavalcades que formen un pont. Queda a la part sud-oest del turó del Serrat de Guirló i no massa avall del seu cim. Compren una curta cresta que és un roquissar encarada al vessant del torrent de la Diablera. Aquesta roca es distingeix fàcilment des de Sant Pau Vell.",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Veïna de baix de l'Arc de Guirló,99-B,784,397961.0,397908.0,Situada al costat de la roca de l'Arc de Guirló,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Serrat de Guirló,99,830,398021.0,4606954.0,Es tracta d'un turó planer situat a l'est del turo de sant Pau Vell i separat del coll de Guirló.,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Gaites de Guirló,s/n,785,398010.0,4606823.0,"Gaites de Guirló. a l'extrem meridional del serrat de Guirló, veí del de Sant Pau Vell, els separa el torrent de l'Home Mort. Joan Miquel Dalmau, les cita en la seva guia d'escalades de la regió de les Agulles. En Manel Punsola li ha donat el número 848",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Contrafort de Sant Pau Vell,s/n,821,397826.0,4606914.0,És una cinglera d'uns 30 metres d'alçada situada sota mateix de sant Pau Vell. Per la seva part de llevant té enganxada l'agulla de la Venta,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Agulla dels Innocents,s/n,798,397847.0,4606905.0,Agulla que forma un coll amb l'agulla de la Venta per la seva part nord,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Agulla de l'abat Bardolet,s/n,790,398149.0,4607007.0,"Petita roca situada a l'est del coll de Guirló i al damunt de la part superior del torrent de la Diablera, per sobre del Flam d'Agulles",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Flam d'Agulles,s/n,766,398173.0,4606964.0,"Roca situada a la part superior del torrent de la Diablera, al costat mateix de la zona arqueològica de la cova Tapada.",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Agulla Foradada de la cova Tapada,s/n,749,398175.0,4606964.0,"Singular agulla mig cavalcada i foradada situada al costat del Flam d'Agulles, a la part superior del torrent de la Diablera al costat de la zona arqueològica de la cova Tapada",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Roca de la Montse,s/n,761,398214.0,4606935.0,Aresta esvelta orientada al Bruc situada al torrent de la Diablera.,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Roca dels Veterans,s/n,791,398231.0,4606918.0,Roca integrada en una de les cingleres del torrent de la Diablera,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Roca Majó,s/n,788,398256.0,4606906.0,"Roca important situada en el cingle més notable del torrent de la Diablera, segons indica Josep Miquel Dalmau, baixant cap al sud.",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Agulla de la Venta,s/n,770,397861.0,4606886.0,Des de sant Pau Vell baixa una petita carena en direcció sud que acaba en aquesta roca. En Josep Baberà esmenta que deu tractar-se d'un bloc després de les cingles.  tal com evidencia la balma que ha quedat en el lloc on abans estava encaixada aquesta roca. Agulla  situada en la part est del Contrafort de sant Pau Vell i separada d'aquest per una canal arbrada. Forma coll amb la Veïna de sant Pau. En Manuel Punsola li dona el número 395,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Castell de la Guàrdia,s/n,857,397824.0,4607090.0,Una mica més a munt de sant Pau Vell hi ha quatre pedres a dalt d'un turó del que fou el castell de  la Guàrdia o castell Bonifaci.,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Sant Pau Vell,97,823,397820.0,4606986.0,"Molt a prop del coll de can Maçana, accessible per un petit corriol, hi ha la ruïnes de sant Pau Vell",Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Piràmide truncada,s/n,760,397653.0,4607022.0,Bloc aïllat situat a prop d'un cingle situat a la vessant oest del Contrafort de sant Pau Vell,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Casc d'Agulles,s/n,758,397703.0,4606889.0,Bloc arrodonit situat al final d'una carena que baixa de sant Pau Vell,Sant Pau Vell,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-de-sant-pau-vell/
Agulla de l'Era dels Pallers,10,777,398490.0,4606184.0,Es un conjunt de petites agulles que s’estenen des del coll de l’era dels Pallers en direcció sud i que semblen uns queixals plantats el damunt de la carena.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Agulla del Giravolt,8,783,398520.0,4606102.0,"Les tres agulles de l’Era dels Pallers acaben amb una agulla una mica més alta. Aquesta, la més propera a les roques del Pallers, es coneix també amb el nom d’agulla del Giravolt. Aquest nom prové, segons explica Josep Barberà, perquè té una sèrie de repl",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Agulla dels Tres o CNT,s/n,886,398405.0,4606560.0,"Aquesta agulla es troba per sota i en continuació de la Miranda de la Portella. El nom d’aquesta agulla es deu a que fou escalada per primer cop l’any 1951 per Capeta, Nubiola i Torras. Inicialment, aquests escaladors li donaren el nom format per les inic",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Cinglera de la cota 13,s/n,880,398426.0,4606529.0,Cinglera en la qual es troba roca la Tretze identificada amb el número 13,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
El Dau d’Agulles,16,899,398386.0,4606594.0,"El Dau d’Agulles, se li dóna aquest nom per diferenciar-lo del Dau del Monestir. És una roca cúbica de no masses dimensions, 19 metres d’alt. Aquesta agulla està propera a la Miranda de la Portella. Tot i que el seu nom es el Dau es freqüent nomenar-la ta",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
El Gerro,1,711,398474.0,4605809.0,És una roca que té un pont natural al costat sud-oest que sembla la nansa d’un gerro. Aquesta agulla s’hi arriba per un camí que baixa des de la Tisoreta en direcció al camí del Vermell del Xincarró.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
El Timbal,s/n,717,398560.0,4605798.0,Agulla adossada al Timbaler del Bruc de la qual queda separada per una ximeneia,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
El Timbaler del Bruc,2,742,398549.0,4605802.0,"Aquesta roca es troba a la mateix nivell que el Gerro, però a l’altra cantó de la cinglera en la seva vessant est.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
La Tisora,3,798,398549.0,4605938.0,"Tal com indica el nom, aquest roca té dues puntes una al Nord i a l’altre al Sud. La primera s’anomena també Tisora Gran i és la més propera a la darrera roca dels Pallers i la segona és la Tisora Petita.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
La Tisoreta,s/n,786,398547.0,4605909.0,És la darrera roca d’aquesta zona. Té la peculiaritat de tenir una forat en forma de creu que li dóna una característica ben peculiar.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
La Tretze,13,875,398419.0,4606540.0,"Aquesta agulla es troba a continuació, més al sud, de l’agulla dels Tres de la qual està separa per una canal.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Llastra Punxeguda,s/n,862,398407.0,4606492.0,Aquesta agulla s’hi arriba seguint un corriol que transcorre pel peu de la muralla d’aquesta secció per la seva part sud en direcció al coll de l’Era dels Pallers. Aquesta roca sembla estar posada sota una gran concavitat de la qual es sembla haver despré,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Miranda de la Portella,15,897,398382.0,4606575.0,"Segons comenta Josep Barberà, la Miranda de la Portella “realment potser s'ha pres aquest nom del lloc on en el plànol d’en Semir figura el nom de la Miranda de la Portella en un turonet que hi ha sota la roca dels Tres. De totes maneres fa molt de temps",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Miranda de les Agulles,187,907,398767.0,4606504.0,"Abans d'arribar al trencall on surt el camí que baixa de la canal Ampla, anant en direcció al refugi, hom troba a mà esquerra una carena descendent que no és altra cosa que la prolongació de la carena que baixa de la Nana. (Aquesta descripció no és del to",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Paller del Mal Any,7,795,398522.0,4606050.0,"A continuació de les agulles de l’era dels Pallers hi ha les quatre roques dels Pallers del Mal Any. En Josep Barberà diu que segons una llegenda montserratina, totes les roques d’aquest indret les situades en torn de l’era dels Pallers, eren uns pallers",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Roca de l'Era dels Pallers,12,788,398481.0,4606225.0,És una gran massa rocosa en la part sud del coll de l'Era dels Pallers i que senyala al inici dels Pallers.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Roca de les Vuit o Llastra del Dau,14,898,398364.0,4606558.0,"La roca de les Vuit, com és anomenada pels habitants els habitants d’El Bruc és una gran llastra separada de la cinglera, encara que un xic difícil de veure al primer cop d'ull. Està situada al peu de la Miranda de la Portella.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Roca de lo Palauet,s/n,862,398451.0,4606493.0,Roca solitaria propera a La Tretza per la seva vessant sud,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Roca dels Cartutxos,s/n,725,398530.0,4605799.0,És la darrera agulla de la carena que baixa de l’era dels Pallers. Es troba entre l’agulla del Gerro i el Timbaler del Bruc.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Roca Gran de la Portella,17,933,398402.0,4606685.0,"És la roca més esvelta i gran d’aquesta secció. Per la se seva situació fou una de les primeres en rebre l’atenció d’excursionistes i escaladors. Domina el pas que porta el seu nom. S’hi arriba a través del camí que ve de coll de Guirló i, amb una lleuger",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Les Tres Maries - cota 1,,824,398281.0,398281.0,"Conjunt de tres roques situades a sota del marge dret del camí que mena a la Portella, just abans de fer el tomb per encarar la canal.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Les Tres Maries - cota 2,,821,398286.0,4606770.0,"Conjunt de tres roques situades a sota del marge dret del camí que mena a la Portella, just abans de fer el tomb per encarar la canal.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Les Tres Maries - cota 3,,823,398294.0,4606772.0,"Conjunt de tres roques situades a sota del marge dret del camí que mena a la Portella, just abans de fer el tomb per encarar la canal.",Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
L'Hipopòtam,,783,398251.0,4606732.0,Roca situada a la part de llevant de la roca Majó.,Els Pallers,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-dels-pallers/
Portella Petita,18,929,398395.0,4606785.0,"Queda a la part nord del Pas de la Portella. El nom de Portella Inferior li ve perquè és més petita que la Portella gran que es troba al seu costat. No obstant, com diu Josep Barberà, el nom d’inferior és erroni perquè, en relació a l’alçada, la Portella",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Les Savines - Savina s uperior,21,949,398433.0,4606900.0,Són dues agulles situades al damunt de l'agulla Pelada. Una més gran que l’altre. S’identifiquen per la seva posició: la inferior i la superior.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Les Savines - Savina  Inferior,22,972,398433.0,4606888.0,Són dues agulles situades al damunt de l'agulla Pelada. Una més gran que l’altre. S’identifiquen per la seva posició: la inferior i la superior.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla del Sol Ponent,23,977,398460.0,4606939.0,"El nom d’aquesta agulla prové pel fet de que les primeres persones que l’escalaren arribaren al cim quan es ponia el sol. Amb aquesta agulla i la propera, La Peluda, s’acaba la paret oest de la regió d’Agulles.",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Gep Llarg,26,978,398503.0,4606926.0,Situada al costat est dels Merlets amb la qual forma un petit collet.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Boteruda,27,983,398519.0,4606937.0,No confondre aquesta agulla amb una altra d’aquesta regió anomenada Boteruda del Gra. Aquest agulla està al costat est del Gep Llarg.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla Peluda,28,972,398488.0,4606975.0,"Aquesta agulla continua la vessant oest de la regió d’Agulles. Per la seva morfologia i proximitat a l’agulla del Capdamunt els mapes topogràfics no es representen aquesta agulla. A la paret externa d’aquesta agulla, la que dóna a la vessant oest d’aquest",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla del Capdamunt,29,1.011,398506.0,4606977.0,"Aquesta agulla es veïna a la Peluda i està situada en la part superior del conjunt d’agulles d’aquesta zona i és la que té més alçada, 1011 metres.",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Miranda de les Boïgues,30,1.002,398561.0,4606943.0,Aquesta agulla és característica d’aquesta zona perquè la seva forma i tamany domina aquesta secció. Es molt visible des del refugi Vicenç Barbé.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
L'Aglà,31,939,398598.0,4606896.0,"Aquest agulla, identificada amb el número 31 per Ramon de Semir, se la coneixia com una de les Momietes. Es troba al costa sud de la Miranda de les Boïgues.",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Agulla Mare,32,955,398599.0,4606925.0,"Aquest agulla, identificada amb el número 32 per Ramon de Semir, se la coneixia com una de les Momietes. És més alta que l’altra Momieta, l’Aglà. Està per sobre d'aquesta i al costat de la Miranda de les Boïgues",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Senatxo,33,1.008,398509.0,4607026.0,Amb aquesta agulla ja comença clarament la paret nord de la regió d’Agulles. La part nord d’aquesta agulla té una alçada considerable mentre que per la vessant est té molt poc alçada. La part superior d'aquest agulla és plana,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Figuereta,34,1.012,398509.0,4607042.0,"El nom d’aquesta agulla prové per una figuera que es troba al inici de la canal sota la gran llastra de la paret oest d’aquesta roca. La Figuereta és una agulla, alguns en diuen puro, que es troba en la part oest de la muralla nord-oest per sobre del Sena",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
El Martell,35,1.018,398558.0,4607048.0,Aquesta agulla es troba sota de la Saca Gran,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
Pedestal del Martell,36,997,398579.0,4607043.0,Aquest agulla es troba al cantó est de l’agulla el Martell. Entre aquesta agulla i el Carbassó existeix una estreta canal.,Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Bandereta o Agulla Ven-Suri-Ven,37,1.032,398508.0,4607065.0,"Aquest agulla presenta una gran paret en la muralla nord-nord-est de la regió d’Agulles. Aquesta agulla té dos noms. L’agulla es deia, originalment, La Bandereta. Però la cordada Torras-Nubiola, al trobar escrit en el llibre de registre situat en el nom e",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
La Palangana,38,1.035,398510.0,4607089.0,"Aquest agulla forma l’angle que marca el gir de la paret oest de la regió d’Agulles cap la seva part nord. La Palangana està separada de la Bandereta per un petit collet,",Saques,Agulles,https://totmontserrat.cat/muntanya/agulles/seccio-iii-saques/
