Name,Code,Altitude,Easting,Northing,Subregion,Region
Agulleta d’en Pany,s/n,1.170,400992,4606411,Sant Jeroni,Sant Jeroni
Agulla Ajaguda,319,860,400355,4605294,Palomera,Sant Jeroni
Agulla Albert Zanini,s/n,891,399801,4605714,Faró,Sant Jeroni
Agulla Alta de la Coma dels Naps de Baixa,243,1.046,400181,4606307,Naps,Ecos
Agulla Alta de la Miranda  (Manolito García),74,1.060,398900,4607169,Bola,
Agulla Alta de Sant Joan,s/n,882,402857,4604981,Les Gorres,Magdalenes
Agulla Ausias March,s/n,839,402223,4603925,Sant Pere,Magdalenes
Agulla Baixa de Sant Joan,491,815,402909,4605050,Les Gorres,Magdalenes
Agulla Claudia,s/n,659,401245,4604773,Pollegons,Magdalenes
Agulla de Can Jorba,266,787,400152,4605197,Palomera,Sant Jeroni
Agulla de la Benedicció,s/n,846,399786,4605663,Faraó,
Agulla de la Boleta o la Desconeguda,122,1.037,399055,4607245,Centenar,Frares Encantats
Agulla de la Canal Plana,s/n,981,402438,4605757,Flautats,Sant Salvador
Agulla de la Carnavalada o dels Set,98 I 88,1.014,398751,4607091,Bola,
Agulla de la Corona de Reina,55,1.043,398796,4607130,Bola,
Agulla de la Creu,488,621,403512,4604954,Santa Cova,Magdalenes
Agulla de la Creu – cota 489,489,603,403512,4604965,Santa Cova,Magdalenes
Agulla de la Foradada o dels Apòstols,69,992,398958,4607378,Bola,
Agulla de la Mitra,560,996,402527,4605752,Flautats,Sant Salvador
Agulla de la Pastereta,s/n,810,401773,4604185,Sant Pere,Magdalenes
Agulla de la Plantació,452,957,401804,4604919,La Plantació,Magdalenes
Agulla de la Princesa,153-154,1.036,399458,4606817,Frares,Frares Encantats
Agulla de la Pulgui,474 A,870,402618,4603951,Sant Joan,Magdalenes
Agulla de la Tempestat,257,990,399990,4605859,Faraó,
Agulla de la Verge de Lourdes,s/n,960,399972,4605816,Faraó,
Agulla de l’Albert Iglesias (possible),s/n,545,402640,4603131,Boirafua,
Agulla de l’Arbret,48,1.078,398690,4607163,Saques,Agulles
Agulla de l’Avenc,320,855,400343,4605289,Palomera,Sant Jeroni
Agulla de l’Era dels Pallers,9,781,398513,4606150,Els Pallers,Agulles
Agulla de l’Era dels Pallers,10,777,398490,4606184,Els Pallers,Agulles
Agulla de l’Era dels Pallers,11,782,398517,4606123,Els Pallers,Agulles
Agulla de l’Esquelet,80,988,398683,4606987,Saques,Agulles
Agulla de l’Ocell Mort,322,831,400253,4605291,Palomera,Sant Jeroni
Agulla de Sant Benet,516,1.009,402572,4605339,Monestir o sant Benet,
Agulla de Sant Joan,490,859,402884,4605011,Les Gorres,Magdalenes
Agulla de Santa Cecília,s/n,932,401164,4606947,Serrat del Moro,
Agulla del Arítjol,s/n,837,399543,4605733,Faraó,
Agulla del camí,515,987,402726,4605508,Monestir o sant Benet,
Agulla del Capdamunt,29,1.011,398506,4606977,Saques,Agulles
Agulla del Capdemunt,s/n,960,401807,4604850,La Plantació,Magdalenes
Agulla del Capdevall,463,912,401735,4604863,La Plantació,Magdalenes
Agulla del Castell,s/n,600,399027,4605516,Roca Roja,Ecos
Agulla del coll del Serrat B,s/n,769,401342,4604605,Pollegons,Magdalenes
Agulla del Consol,550,1.065,402157,4605787,Cavall Bernat,Sant Salvador
Agulla del Gat,525-526,1.042,402519,4605340,Monestir o sant Benet,
Agulla del Germà Paulí,497,620,403597,4604774,Santa Cova,Magdalenes
Agulla del Giravolt,8,783,398520,4606102,Els Pallers,Agulles
Agulla del Guarda,s/n,1.005,402563,4605325,Monestir o sant Benet,
Agulla del Jardí,321,850,400318,4605265,Palomera,Sant Jeroni
Agulla del Llapis i  turó,562-563,1.092,402387,4605530,Monestir o sant Benet,
Agulla del Meguí,448,985,401896,4604933,La Plantació,Magdalenes
Agulla del Miracle,234,1.015,399851,4607084,Comes,Ecos
Agulla del Pas del Nap,285,873,399444,4606196,Naps,Ecos
Agulla del Pas dels Micos,287,1.100,400602,4606459,Ecos,Sant Jeroni
Agulla del Pilot,s/n,613,399387,4605123,Palomera,Sant Jeroni
Agulla del Pla dels Ocells,522,986,402165,4605299,Monestir o sant Benet,
Agulla del Rei,158,1.048,399493,4606846,Frares,Frares Encantats
Agulla del riu,s/n,634,403599,4605269,Mullapans,Sant Salvador
Agulla del Saltet,323,837,400234,4605294,Palomera,Sant Jeroni
Agulla del Senglar,s/n,801,399373,4605815,Roca Roja,Ecos
Agulla del Sol Ponent,23,977,398460,4606939,Saques,Agulles
Agulla dels Degotalls,543,800,402604,4606081,Flautats,Sant Salvador
Agulla dels Espeleòlegs,39,1.039,398523,4607081,Saques,Agulles
Agulla dels Flamencs,s/n,870,401104,4605177,Vinya Nova,Magdalenes
Agulla dels Naps de Dalt,271,897,399463,4606208,Naps,Ecos
Agulla dels Ossos,50,1.067,398712,4607166,Saques,Agulles
Agulla dels Pollegons,441,950,401620,4605071,Pollegons,Magdalenes
Agulla dels Retornats,581,840,402681,4605158,Monestir o sant Benet,
Agulla dels Tres o CNT,s/n,886,398405,4606560,Els Pallers,Agulles
Agulla d’en Markus Kamen,591,1.018,402410,4605357,Monestir o sant Benet,
Agulla d’en Passola,124,1.058,399097,4607233,Centenar,Frares Encantats
Agulla d’en Tagore,s/n,1.019,399243,4607014,Centenar,Frares Encantats
Agulla d’en Torres Homet,449,991,401855,4604877,La Plantació,Magdalenes
Agulla Despistada,569,911,402159,4606020,Cavall Bernat,Sant Salvador
Agulla dl Pont Natural de Collbató,s/n,601,402566,4603349,Boirafua,
Agulla Eliseu Climent,s/n,814,402249,4603846,Sant Pere,Magdalenes
Agulla Facil,s/n,1.066,399439,4607073,Frares,Frares Encantats
Agulla Ferran Torrent,s/n,808,402261,4603810,Sant Pere,Magdalenes
Agulla Gran de Pas de Príncep,159,1.053,399496,4606821,Frares,Frares Encantats
Agulla Ignasi Capeta,68,918,398957,4607353,Bola,
Agulla Inclinada,343,1.033,401329,4605934,Albarda,Sant Jeroni
Agulla Isabel Clara Simó,s/n,806,402260,4603827,Sant Pere,Magdalenes
Agulla Janot Martorell,s/n,835,402233,4603908,Sant Pere,Magdalenes
Agulla Jaume Mata,434,986,401895,4604766,La Plantació,Magdalenes
Agulla Joan Fuster,s/n,817,402243,4603855,Sant Pere,Magdalenes
Agulla Jordi Solé Masip (roques finals del serrat dels Pollegons),s/n,756,401255,4604883,Pollegons,Magdalenes
Agulla Lluis Estasen,207,1.209,400446,4606689,Ecos,Sant Jeroni
Agulla Mare,32,955,398599,4606925,Saques,Agulles
Agulla Migpartida,s/n,1.062,401736,4606068,Sant Antoni,Sant Jeroni
Agulla Ovidi Monllor,s/n,805,402260,4603793,Sant Pere,Magdalenes
Agulla Pelada,19-20,949,398412,4606857,Saques,Agulles
Agulla Peluda,28,972,398488,4606975,Saques,Agulles
Agulla Perduda,s/n,906,402109,4605986,Cavall Bernat,Sant Salvador
Agulla Petita,s/n,931,398406,4606830,Saques,Agulles
Agulla Podrida,49,1.045,398667,4607161,Saques,Agulles
Agulla Sens Nom,120,1.060,399077,4607195,Centenar,Frares Encantats
Agulla Vista,235,1.041,399741,4607076,Comes,Ecos
Agulla Xica de la Miranda (Petitona),73,1.084,398883,4607193,Bola,
Agulleta de l’Esglai,s/n,922,401756,4604838,La Plantació,Magdalenes
Agulleta del Serradet de Sant Jeroni,328-329,1.152,401177,4606581,Serrat del Moro,
Agulleta del Serrat del Faraó,290,985,400021,4605875,Faraó,
Agulleta dels dos Forats,s/n,880,402589,4604007,Sant Joan,Magdalenes
