Name,Code,Altitude,Easting,Northing,Subregion,Region,Description,Longitude,Latitude
Agulleta d’en Pany,s/n,1.17,400992.0,4606411.0,Sant Jeroni,Sant Jeroni,,1.811867322746504,41.60327065331306
Agulla Ajaguda,319,860.0,400355.0,4605294.0,Palomera,Sant Jeroni,"És la roca més destacada i esvelta d’aquesta secció. Està en el coll del Bassal dels Gats o, segons algunes persoens coll de l'Ajaguda.  En Josep Barberà anomena aquest coll com a Muset tot i que aquest està en una altra part del massís.",1.8044103709114603,41.59313244685365
Agulla Ajaguda,319,860.0,400355.0,4605294.0,Palomera,Sant Jeroni,"És la roca més destacada i esvelta d’aquesta secció. Està en el coll del Bassal dels Gats o, segons algunes persoens coll de l'Ajaguda.  En Josep Barberà anomena aquest coll com a Muset tot i que aquest està en una altra part del massís.",1.8044103709114603,41.59313244685365
Agulla Albert Zanini,s/n,891.0,399801.0,4605714.0,Faró,Sant Jeroni,"Es troba sobre la roca de la Benedicció. Aquesta agulla està dedicada a qui fou company d’escalada de Fèlix Burgada, Vicenç Soto i Josep Barberà. Aquests feren la primera ascensió el 8 d’octubre de 1972. Fou escollida per Josep Barberà per la cloenda de la seva operació Montserrat en homenatge al seu amic Albert Zanini.",1.7976944138637694,41.59684536987741
Agulla Alta de la Coma dels Naps de Baixa,243,1.046,400181.0,4606307.0,Naps,Ecos,,1.8021543829487106,41.60223311700875
Agulla Alta de la Miranda  (Manolito García),74,1.06,398900.0,4607169.0,Bola,,Última roca d'una curta carena que baixa en direcció Sud Oest des de la Tri Roca,1.7866400044998625,41.60983447681249
Agulla Alta de Sant Joan,s/n,882.0,402857.0,4604981.0,Les Gorres,Magdalenes,Agulla situada en el serrat que està a ponent de la via del funicular de Sant Joan al damunt de l’agulla de Sant Joan.,1.834475253917785,41.59062198278642
Agulla Ausias March,s/n,839.0,402223.0,4603925.0,Sant Pere,Magdalenes,A partir de cota identificada com a roca de Santa Caterina en el serrat del Penitent baixant cap al sud Manel Punsola situa aquesta agulla. Manel Punsola li dóna el número 975,1.8270421799852004,41.58103489270187
Agulla Baixa de Sant Joan,491,815.0,402909.0,4605050.0,Les Gorres,Magdalenes,Al costat oest de la via del funicular de Sant Joan hi ha un petit serrat. Aquesta és l’agulla més inferior d’aquest serrat.,1.8350878550946228,41.5912496810815
Agulla Claudia,s/n,659.0,401245.0,4604773.0,Pollegons,Magdalenes,Agulla adossada a l'esquerra de la Roca de Ponent,1.8151726265081431,41.588551186264695
Agulla de Can Jorba,266,787.0,400152.0,4605197.0,Palomera,Sant Jeroni,Agulla situada al marge esquerra del torrent del Migdia en la seva part alta on hi ha el Joc de l'Oca.,1.8019913423118228,41.59223357671844
Agulla de Can Jorba,266,787.0,400152.0,4605197.0,Palomera,Sant Jeroni,Agulla situada al marge esquerra del torrent del Migdia en la seva part alta on hi ha el Joc de l'Oca.,1.8019913423118228,41.59223357671844
Agulla de la Benedicció,s/n,846.0,399786.0,4605663.0,Faraó,,"Cal pujar a la carena que separa la Coma d’en Pastor i el torrent de l’Estevet i recòrrer un centener de metres pel camí que porta a les roques de la Palomera. L’agulla es troba al peu de l’agulla Albert Zanini. Primera ascensió per Fèlix Burgada, Vicenç Soto i Josep Barberà el 8 d’octubre de 1972.",1.7975229902002903,41.59638421660586
Agulla de la Boleta o la Desconeguda,122,1.037,399055.0,4607245.0,Centenar,Frares Encantats,Es troba sota el pedestal de la Boleta del Portell Estret.,1.7884870427465012,41.610538493758796
Agulla de la Canal Plana,s/n,981.0,402438.0,4605757.0,Flautats,Sant Salvador,Queda un xic mes avall de la roca de l’Urbain Té una llarga i dreta aresta nord.,1.8293228074792356,41.597559122197985
Agulla de la Carnavalada o dels Set,98 I 88,1.014,398751.0,4607091.0,Bola,,"Entorn d’aquesta agulla es dóna alguna confusió, ja que Josep Barberà la descriu juntament amb l’agulla dels Set perquè considera que és la mateixa que l’agulla del Set. Explica que fou esmentada per dues cordades diferents. La primera li donà el nom d’agulla dels Set. Perquè aquest era el nombre de persones de la primera cordada que pujà aquesta agulla. Es tractava d’una cordada formada per: Isabel Ricard, Úrsula Willis, J.Riera, M. Cervera, Anna Cerdà i J. Cerdà I i II. Anys després unes altres  persones feren l’ascensió pensant que era una primera i la batejaren amb el nom de Carnavalada. A l’acabar la via d’ascensió hi ha un cim que és el número 98 i la cota superior és la 88.",1.784865338095689,41.60911318120483
Agulla de la Corona de Reina,55,1.043,398796.0,4607130.0,Bola,,Agulla situada per sobre a la roca de la Reina. Fou batejada així per un grup de terrassencs el 16 de novembre de 1958 per haver-hi trobat forces exemplars de la planta corona de la reina. Curiosament aquesta roca te forma de corona per diversos bonys que l'envolten.,1.7853986981092325,41.60947009271987
Agulla de la Creu,488,621.0,403512.0,4604954.0,Santa Cova,Magdalenes,"És la darrera roca de la carena iniciada al mirador de Sant Miquel i deu al seu nom a la creu que hi ha el camí de la Santa Cova que correspon al cinquè Misteri de Dolor, (la Crucifixió de Jesús). Aquesta roca es compon de dues, la cota 488 és pròpiament l’agulla de la Creu i cota 489 és anomenada agulla Baixa. Llinda amb la roca del Pallasso.",1.8423367608003964,41.590458227623074
Agulla de la Creu – cota 489,489,603.0,403512.0,4604965.0,Santa Cova,Magdalenes,És l'agulla més baixa i propera al cinquè Misteri de Dolor,1.8423349907938704,41.59055728778877
Agulla de la Foradada o dels Apòstols,69,992.0,398958.0,4607378.0,Bola,,Al final d’aquesta carena es troba la roca Foradada que acaba abruptament.,1.7873006930258042,41.61172391988563
Agulla de la Mitra,560,996.0,402527.0,4605752.0,Flautats,Sant Salvador,"Al peu de la Punxa hi ha una petita carena descendent vers el nord. La Mitra és la tercera roca d’aquesta carena després de les roques de les cotes 558 i 559. Forma coll amb la següent agulla de la carena, les roques de la Nansa.",1.8303913454522758,41.597524963609374
